LOOKUP_ID,FUND_IN_UNIVERSE,UNCOVERED_FUNDS,FUND_FINANCED_CARBON_EMISSIONS,FUND_FINANCED_CARBON_EMISSIONS_COVERAGE,FUND_CARBON_EMISSIONS_SCOPE_3_DOWN_EVIC_INTEN,FUND_CARBON_EMISSIONS_SCOPE_3_DOWN_EVIC_INTEN_COV,FUND_CARBON_EMISSIONS_SCOPE_3_TOT_EVIC_INTEN,FUND_CARBON_EMISSIONS_SCOPE_3_TOT_EVIC_INTEN_COV,FUND_CARBON_EMISSIONS_SCOPE_3_UPST_EVIC_INTEN,FUND_CARBON_EMISSIONS_SCOPE_3_UPST_EVIC_INTEN_COV,FUND_FOSS_FUEL_SECT_EXP_PCT,FUND_FOSSIL_FUEL_REVENUES_PCT,FUND_GREEN_REVENUES_PCT,FUND_GREEN_FFB_REV_RATIO,FUND_OIL_GAS_ANY_TIE,FUND_EXP_TO_OG_REV_REFINING,FUND_THERMAL_COAL_ANY_TIE,FUND_WEIGHTED_AVG_CARBON_INTEN,FUND_WEIGHTED_AVG_CARBON_INTEN_COVERAGE,FUND_CARBON_EMISSIONS_SCOPE_3_DOWN_SALES_INTEN,FUND_CARBON_EMISSIONS_SCOPE_3_DOWN_SALES_INTEN_COV,FUND_CARBON_EMISSIONS_SCOPE_3_TOTAL_SALES_INTEN,FUND_CARBON_EMISSIONS_SCOPE_3_TOTAL_SALES_INTEN_COV,FUND_CARBON_EMISSIONS_SCOPE_3_UPST_INTEN_PROF,FUND_CARBON_EMISSIONS_SCOPE_3_UPST_INTEN_PROF_COV,FUND_WEIGHTED_AVG_SOV_CARBON_INTEN,FUND_WEIGHTED_AVG_SOV_CARBON_INTEN_COVERAGE,FUND_IMPLIED_TEMP_RISE_OVERSHOOT,FUND_IMPLIED_TEMP_RISE_BUDGET,FUND_IMPLIED_TEMP_RISE,FUND_IMPLIED_TEMP_RISE_COVERAGE,FUND_PERC_LOW_CARB_VALUE_COV,FUND_CBN_LCT_MGMT_SCORE_QUART_1,FUND_CARBON_EMISSIONS_CLEANER_ENERGY_SOURCES,FUND_PERC_LOW_CARB_VALUE
UFD000000001150246,TRUE,TRUE,39.32230394,72.09940924,194.0077775,71.82000662,288.2350721,71.82000662,94.22729467,71.82000662,6.501008291,1.59796317,4.94180829,3.092567077,6.323027522,0.7085177,1.677030594,104.640662,74.89596902,355.3891355,74.56549523,598.5466991,74.56549523,243.1575636,74.56549523,279.2280567,6.642385567,3086.31907,9041.164132,2.3,71.88416387,54.62737358,48.93268052,70.4950579,6.86510337
UFD000000518092785,FALSE,TRUE,0.44705622,36.50546349,50.65422998,36.50546349,66.94713636,36.50546349,16.29290638,36.50546349,0.223199777,0,0.05389051,null,0.223199777,0,0,3.02705252,37.54286246,338.5241856,37.54286246,451.2849147,37.54286246,112.7607291,37.54286246,null,0,-1087.30229,3065.965767,1.8,36.50546349,27.24187276,25.67167433,36.50546349,1.58058633
UFD000000422581401,TRUE,TRUE,148.4201905,43.7789317,910.0155281,43.7789317,1042.420077,43.7789317,132.4045493,43.7789317,2.490619273,0.65794088,1.061679,1.613638903,2.344119273,0.28104926,2.490619273,212.0819559,43.78005097,1451.528151,43.78005097,1697.951294,43.78005097,246.4231428,43.78005097,1291.29217,17.78950517,25070.11238,11487.211,3.8,43.7789317,31.2463454,26.21186929,43.74215097,5.5915902
UFD000000001293682,FALSE,TRUE,80.77496241,5.026732558,215.8673306,5.003020488,316.1079752,5.003020488,100.2406446,5.003020488,0.525467281,0.19645487,0.35572738,1.810733325,0.468739235,0.09519012,0.143102691,270.197259,5.271441244,479.5912542,5.234985393,742.2322039,5.234985393,262.6409498,5.234985393,802.103804,1.960875686,7758.864872,9231.70296,2.8,5.013933459,2.00361519,1.645767094,4.392164558,4.55796653
UFD000000338905087,TRUE,TRUE,679.3418213,85.42662505,4400.416982,85.42662505,4829.738492,85.42662505,429.3215104,85.42662505,30.7390957,11.6043322,0.60299146,0.051962616,22.2173662,3.13094587,30.58089038,866.3037284,85.42662505,6329.137168,85.42662505,6794.392283,85.42662505,465.2551151,85.42662505,1291.349193,0.001804559,115790.8481,26353.77448,5.6,85.42662505,60.21828771,30.20129115,85.42662505,16.47639853
UFD000000001280307,TRUE,TRUE,54.09248887,43.4895885,247.939457,43.40238097,344.4379374,43.40238097,96.49848041,43.40238097,7.179635466,1.47696227,1.64113966,1.111158825,7.177760496,0.60427915,1.895502946,120.5122555,49.24194301,643.1727653,49.05490848,841.6374828,49.05490848,198.4647175,49.05490848,388.4210734,2.780316264,2156.37022,9969.530056,2.2,43.37461543,31.28415859,30.27488248,44.93616375,7.64618631
UFD000000320147174,TRUE,TRUE,35.95987533,98.43197213,68.91797734,98.43197213,168.1886379,98.43197213,99.27066058,98.43197213,4.788679721,0.34632101,27.61448562,79.73667442,4.788679721,0,4.788679721,124.4849628,98.43197213,235.3824299,98.43197213,581.1033494,98.43197213,345.7209194,98.43197213,null,0,2008.284633,6804.591406,2.3,98.43197213,88.87801161,38.62672317,89.46028483,17.86128792
UFD000000001303007,FALSE,TRUE,null,0,null,0,null,0,null,0,0,0,0,null,0,0,0,null,0,null,0,null,0,null,0,788.8396026,5.580902517,null,null,null,null,0,0,0,null
UFD000000391015072,TRUE,TRUE,252.6812206,93.74276543,169.6065062,93.74276543,340.887832,93.74276543,171.2813257,93.74276543,0,0,0,null,0,0,0,459.380133,94.31048297,310.6527129,93.74276543,702.6220289,93.74276543,391.969316,93.74276543,null,0,10204.1665,15000.37034,2.6,93.74276543,16.53785862,44.84560452,91.73694294,17.80264981
UFD000000001266887,FALSE,TRUE,66.45902204,54.8315298,447.7184202,54.79159543,608.7571489,54.79159543,161.0387288,54.79159543,1.409583983,0.90652352,0.62087522,0.684896979,1.409583983,0.57836641,0,136.0745063,54.8315298,1251.237211,54.8315298,1495.085161,54.8315298,243.8479502,54.8315298,255.8351627,8.779553078,6472.299678,16597.37402,2.4,54.8315298,33.32473039,33.4575369,52.18939317,7.58480163
UFD000000001263168,TRUE,TRUE,60.74496022,23.08079311,323.8621772,23.08079311,468.2341151,23.08079311,144.3719379,23.08079311,4.10486669,1.31155817,1.08180535,0.824824529,4.023313816,0.17419968,1.894975939,232.3262076,32.97372723,613.6553718,32.86649962,845.3483857,32.86649962,231.6930139,32.86649962,356.9980852,27.12992273,8968.816365,10208.38808,2.8,22.96641292,15.79206145,13.88946738,30.94935497,9.00362109
