,Month-Year,Temperature,Rainfall
426,JUL-2015.0,28.03,269.8722222222222
427,AUG-2015.0,27.64,235.7138888888889
428,SEP-2015.0,27.04,158.0611111111111
429,OCT-2015.0,25.82,61.23055555555556
430,NOV-2015.0,22.95,55.56666666666667
431,DEC-2015.0,20.21,21.41111111111111
432,JAN-2016.0,20.92,10.252777777777778
433,FEB-2016.0,23.58,10.527777777777779
434,MAR-2016.0,26.61,27.33888888888889
435,APR-2016.0,29.56,31.91388888888889
436,MAY-2016.0,30.41,84.33333333333333
437,JUN-2016.0,29.7,214.30277777777778
438,JUL-2016.0,28.18,349.77777777777777
439,AUG-2016.0,28.17,242.52777777777777
440,SEP-2016.0,27.72,198.41944444444445
441,OCT-2016.0,26.81,66.0611111111111
442,NOV-2016.0,23.9,14.475000000000001
443,DEC-2016.0,21.89,23.775000000000002
444,JAN-2017.0,20.59,25.455555555555556
445,FEB-2017.0,23.08,9.147222222222222
446,MAR-2017.0,25.58,33.61944444444444
447,APR-2017.0,29.17,47.88055555555556
448,MAY-2017.0,30.47,77.32777777777778
449,JUN-2017.0,29.44,232.57500000000002
450,JUL-2017.0,28.31,322.0861111111111
451,AUG-2017.0,28.12,277.4111111111111
452,SEP-2017.0,28.11,191.00833333333333
453,OCT-2017.0,27.24,103.78055555555555
454,NOV-2017.0,23.92,22.358333333333334
455,DEC-2017.0,21.47,25.34722222222222
